,Frequency
chysta,1546
zacala,1546
deseti,1544
tsunami,1540
sdruzeni,1536
zda,1533
zacalo,1533
bud,1531
politickeho,1529
starostou,1526
spolupraci,1525
hrad,1525
rodinou,1523
propad,1522
vyhrala,1517
zname,1516
cena,1516
tentokrat,1513
chvili,1512
dalo,1506
hodnoty,1504
pokracovat,1498
stecha,1498
radost,1496
jina,1495
hlasy,1493
nejakou,1489
vliv,1486
takovem,1483
nekterych,1477
hranici,1477
predsedou,1475
vest,1475
kolu,1475
mistopredsedkyne,1475
projektu,1474
funkce,1472
televizi,1472
techto,1469
laka,1469
cleny,1468
nerekl,1465
smyslu,1461
modre,1461
energeticke,1461
svuj,1461
pristich,1461
mluvci,1460
lidovecke,1458
najit,1458
demokracie,1454
niz,1452
venovat,1451
zvoleny,1451
konference,1450
musime,1446
uspech,1446
reagovat,1443
gymnazia,1441
senatem,1441
vyhrava,1440
prisla,1439
konkretne,1439
komise,1437
prostrednictvim,1434
drzi,1433
zmenu,1433
vystavby,1432
rychle,1430
herman,1430
zvolena,1430
zvolenymi,1430
naplanovanou,1429
elektraren,1429
predsednictvi,1429
vetsinou,1428
osobnosti,1423
zustane,1417
zastoupeni,1417
poradu,1415
cech,1414
nikoliv,1412
prosazovani,1410
ocekavani,1409
frakce,1409
prestoze,1408
siti,1407
nemecku,1403
dobra,1403
programu,1402
milan,1400
zivotniho,1398
maly,1397
pospisila,1397
novinky,1397
uvazovat,1397
znamenat,1396
brat,1396
jaroslava,1396
same,1396
mem,1394
hlavy,1393
stech,1393
kresla,1393
miliard,1393
rt,1392
dalsimi,1392
ovsem,1391
zakladny,1390
zverejneny,1390
nesmysl,1390
celostatni,1389
parlamentnich,1388
tu,1387
souboji,1387
zeny,1386
jmeno,1385
emisi,1382
statisticky,1378
demokracii,1376
klaus,1374
tez,1372
kampan,1372
obvodech,1372
desetina,1368
reaguje,1368
miroslava,1367
zahranicnich,1365
statnich,1365
podrobnosti,1363
koalicni,1363
ml,1361
vladu,1360
poledni,1360
ctete,1358
odmitla,1358
podzimni,1354
mistopredsedu,1352
opozice,1351
fotografiich,1351
nepujdu,1351
mesto,1350
katastrofu,1350
ocekava,1349
odjizdim,1349
energie,1348
navrhnout,1348
skonci,1348
posledniho,1348
obcanska,1347
nemocnice,1346
demokraticka,1346
komunisticka,1345
demokraticke,1345
nemecko,1345
procenty,1344
kuberu,1343
obrovskou,1343
nemelo,1342
sekaninova,1342
moravy,1342
server,1341
pripraveni,1341
spojene,1340
kandidatka,1339
zkuseny,1338
odpovidat,1338
energeticka,1336
potrebuji,1335
vyborech,1334
teplice,1334
chalankovou,1334
ovcacek,1334
data,1333
opravdu,1333
komisich,1333
objevily,1333
prumeru,1332
podporili,1332
legislativy,1332
organech,1332
nato,1332
cekaji,1331
kdu,1331
halikova,1331
vitezi,1329
spousta,1327
necelych,1326
vyhlaseni,1326
zpravodajstvi,1326
stacilo,1326
pritomnost,1325
proto,1325
tamni,1325
chodili,1325
minulych,1325
dosavadnich,1324
letosnim,1324
tesi,1324
nema,1324
online,1322
nesmime,1322
uchazet,1322
uvidime,1321
brno,1321
podporit,1321
prekvapeni,1320
tohoto,1320
rozhodli,1319
vitezstvi,1318
nizkou,1318
dorazilo,1318
obcanske,1318
osmi,1317
vystoupila,1317
byvali,1317
snemovny,1316
petrem,1314
nynejsi,1314
regionalni,1313
ctenari,1313
kdybychom,1312
svedci,1312
trebicsko,1311
pomahaji,1311
sedmi,1310
lety,1310
senatorkou,1309
krestanskych,1309
jakekoli,1308
nejpozdeji,1307
prohrala,1307
senatorku,1306
zline,1306
demokraty,1306
soucasne,1306
sekaninovou,1306
bozenu,1306
neuspechu,1306
citi,1305
zacatkem,1304
kampani,1303
milada,1303
paty,1303
uspesnemu,1302
deniku,1302
neuspela,1302
stranickou,1302
volili,1301
sesty,1301
vichou,1301
udaje,1301
mile,1301
miladu,1301
bohuminskym,1301
obhajila,1301
teclovi,1301
neobhajil,1301
vyjimecne,1300
nizka,1300
dovolenou,1299
vicepremier,1298
krasnou,1298
impuls,1298
pouzivani,1297
zemanova,1297
hodla,1297
lekare,1297
tuzemskych,1295
specialne,1295
zapomenout,1294
majitele,1294
drtive,1294
vyhoda,1293
pirat,1292
propadu,1292
kontakt,1292
pudu,1291
ivo,1291
jaromira,1290
vysociny,1290
zvitezit,1290
richard,1290
europoslanec,1289
levicove,1289
vinaru,1289
podekovani,1289
opozici,1288
drzim,1288
realitou,1288
energetika,1288
usilovat,1287
clenske,1287
hlasovalo,1287
bulovce,1286
pozitivne,1286
uzavrely,1285
nastoupi,1285
hajit,1285
maximum,1284
obcansti,1284
ostreho,1284
uchazeji,1283
rozhlasu,1283
jednotlivci,1282
zduvodnil,1282
hodni,1281
ucitelku,1281
zvitezila,1281
vnimaji,1281
manzelka,1281
fotku,1281
pripadnou,1281
barvach,1280
provaz,1279
prospiva,1279
sterba,1279
zastavat,1279
podporovali,1279
obr,1279
eu,1279
organizacni,1279
snemovnou,1279
opravnenych,1278
bozena,1278
pocitali,1278
prozatimni,1278
fotografiemi,1277
cekame,1277
potvrdilo,1277
zaznamenaly,1277
posili,1277
dungla,1277
urazi,1277
prijmu,1277
obvod,1276
kandiduje,1276
inspekce,1276
byvalou,1276
porazeni,1276
vrcholne,1276
doufali,1276
sokolov,1276
naplnovat,1276
okrsek,1275
