word_text,count
pravo,13
troll,13
poslanec,13
dolaru,13
nekam,13
nebudu,13
raketach,13
necemu,13
tahle,13
hledat,13
porovnani,13
chodit,13
zavedeni,13
bacha,13
kterych,13
zmeni,13
reditel,13
chodili,13
ctvrtek,13
vzdelani,13
minulost,13
sefa,13
dopravni,13
trest,13
krok,13
byvaly,13
zlikvidovan,13
rady,13
donbas,13
miliardy,13
politice,13
velice,13
zustava,13
vasem,13
celych,13
planete,13
noci,13
pozadi,13
myslis,13
same,13
ct,13
otroctvi,13
vystoupit,13
hrad,13
nasilne,13
napadlo,13
zeptat,13
zisk,13
zena,13
novou,13
stava,13
vyuziti,13
stala,13
soucasna,13
politickych,13
potize,13
nekterych,13
jinam,13
slysel,13
politik,13
komunisty,13
zbran,13
sluzby,13
ucil,13
mladych,13
vetsine,13
plneni,13
bat,13
konkretni,13
nesmyslne,13
pamatuji,13
stejnou,13
rada,13
jisty,13
vidite,13
jakysi,13
rusvesnasu,13
proces,13
kratke,13
likvidace,13
fazi,13
spojene,13
hnuti,13
saudske,13
dovolit,13
vyuzije,13
tiskove,13
potrebovat,13
pouziti,13
vest,13
roli,13
uvedomit,13
problemu,13
nazoru,13
mnohe,13
pomoc,13
napsat,13
poslednich,13
odpor,13
stranou,13
mostu,13
nichz,13
totez,13
ruce,13
mnohokrat,13
ksc,13
zvyseni,13
proboha,13
abyste,13
vyroba,13
hranice,13
vsemu,12
silenstvi,12
jehoz,12
masa,12
napad,12
pripomina,12
poradu,12
breznev,12
ba,12
propaganda,12
komunistum,12
chytit,12
organy,12
azovskeho,12
snizeni,12
tanku,12
davat,12
skody,12
lesu,12
pohodicka,12
neceho,12
pusobil,12
vrstvy,12
utoku,12
malem,12
nemyslite,12
spokojen,12
obcan,12
hodnotit,12
argument,12
uroven,12
nemozne,12
chybu,12
nestalo,12
volba,12
auta,12
tragedie,12
male,12
ceho,12
vodu,12
volal,12
delo,12
vadi,12
kus,12
rekneme,12
dopravy,12
stavu,12
myli,12
precetl,12
arabie,12
srandu,12
siti,12
spociva,12
plyn,12
jaderni,12
delali,12
parametry,12
zdravotni,12
podstatny,12
povazuji,12
moudra,12
ocividne,12
jednani,12
zpatky,12
drzel,12
mozneho,12
hur,12
ukazuje,12
ruku,12
socialismus,12
tvori,12
jezdil,12
odtud,12
bomby,12
chodniky,12
rozum,12
donekonecna,12
ciny,12
americka,12
kecy,12
okamzite,12
natoz,12
vysoke,12
vuci,12
rec,12
obyvatelstvo,12
vzit,12
znamo,12
nejakem,12
novicoku,12
starych,12
rici,12
parlamentu,12
svobodu,12
svedomi,12
diskuze,12
trestni,12
nohy,12
rise,12
vydavali,12
jasny,12
