,keyword,keyword_count,keyword_count_rel,keyword_count_nerel
171,httpszpravyidnesczputinraketyjadernaodvetaevroparuskousafnozahranicniaspxcazahranicniremyto,5,0,5
172,httpswwwpatriaczzpravodajstviministrynenovakovavystavbajadernychblokucezmusirespektovatakcionarehtml,5,4,1
173,httpsczsputniknewscomceskarepublikadukovanyelektrarnastavbaodkladtlak,5,5,0
174,radioaktivnimu,5,4,1
175,nehodla,5,4,1
176,nehodilo,4,3,1
177,httpsplusrozhlasczalexandrmitrofanovputinrusumvzkazalzesepojadernevalceocitlivraji,4,4,0
178,mraky,4,2,2
179,httpsmoneymagczaktualitynovyjadernyblokvceskuzemanbudejednatsesvymiporadci,4,3,1
180,httpsczsputniknewscomceskarepublikaceskodukovanyvystavbakorejci,4,2,2
181,jadernyho,4,2,2
182,potraviny,4,4,0
183,radiacnim,4,4,0
184,radiacniho,4,4,0
185,httpforumczudalostiexpertnitymmilosezemanapodporilpodporujadernouenergetikuaprolomenilimitutezbyuhli,4,4,0
186,vysetreni,4,4,0
187,lecba,4,4,0
188,httpsepochaplusczsmrtelnaradiacejakenejhorsijadernekatastrofypostihlylidstvo,4,4,0
189,havarijniho,4,4,0
190,nuklearnimi,4,4,0
191,rtg,4,3,1
192,rentgenu,4,4,0
193,havarijni,4,4,0
194,letadla,4,4,0
195,httpswwwkurzyczzpravyotravilistanislavagrossevtelemelmitradioaktivniuranium,4,4,0
196,httpswwwzeleniczjaksezceskadelajadernecezko,3,3,0
197,httpswwwnovinkyczclanekjadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputin,3,2,1
198,httpszpravyaktualneczzahraniciputinhrozievropemoznostijaderneodvetyprijmeliraketyrdbdafeacfbee,3,3,0
199,radioaktivniwewerka,3,0,3
200,httpswwwmpoczczrozcestnikpromediatiskovezpravyjadernaenergiejeproceskourepublikunejlepsimresenim,3,3,0
201,httpwwwobnovitelneczczclanekobstojijadernereaktoryvereumeleinteligence,3,1,2
202,jadernaelektrarnatemelin,3,3,0
203,rentgenoveho,3,3,0
204,httpszoommagaziniprimaczzajimavostijadernaenergienampomuzebojovatprotizmenamklimatutvrdinovastudie,3,3,0
205,dukovanskych,3,3,0
206,cernobylska,3,3,0
207,httpswwwinfoczenergetikaoodlozenivystavbynovychjadernychblokunebylarectvrdihradcekarychlerozhodnutihtmlutmsourceonesignal,3,3,0
208,httpwwwhybridczobnovitelnezdrojeenergierostoualeemisetakepomuzejadernaenergetika,3,3,0
209,httpswwweuroczpolitikaputinpritvrdilpokudevropaprijmeraketyusahrozijadernouodvetou,3,2,1
210,httpsczsputniknewscomceskarepublikaceskodukovanyelektrarnaruskonazor,3,3,0
211,httpwwwnovinkyczzahranicnievropajadernezbranepouzijemejenproodvetuagresorichcipnoumyskoncimevrajivzkazalputinhtml,3,2,1
212,izotopem,3,2,1
213,httpswwwfioczzpravodajstvizpravyzburzympomnovakovarozhodnutiostavbenovychjadernychreaktorumuzebytodlozeno,3,3,0
214,httpswwwrespektczpolitikatrumpsazinajadernezbrojenivraciseatmosferastudenevalky,3,3,0
215,cernobylske,3,3,0
216,httpswwwtydenczrubrikyzahraniciruskoaokolijadernezbranepouzijemejennaodvetuagresoriprostechcipnouhtml,3,3,0
217,httpswwwsecuritymagazinczdefencevruskupostavitrimonstroznijaderneledoborcetridylidrhtml,3,3,0
218,httpwwwhybridczekologictiaktivistedemonstrujinapodporujaderneenergetiky,3,3,0
219,httpwwwnovaburzoaziecompostingzemannewskdybysezrucailydotacenaobnovitelncazdrojezaletjsoupencadzenajaderncbdblok,3,3,0
220,rezonance,3,3,0
221,httpseurozpravyczzahranicnievropaputintercemvtipurajpojadernevalcetojestezadnyvudcenesliboval,3,3,0
222,jadernicku,3,0,3
223,unik,3,3,0
224,httpswwwceskenovinyczzpravyexpertnitymprezidentazemanapodporiljadernouenergetiku,3,3,0
225,kosmickych,3,0,3
226,ozarene,3,3,0
227,jodu,3,3,0
228,httpswwwcasopissifraczdenpotecoitalskyministrvnitrasalvinipochvalilputinatenvarovalpredjadernymkonfliktemadousaaevropyvzkazalagresorichcipnoumyskoncimevraji,3,3,0
229,temelinskou,3,3,0
230,jadernyma,3,3,0
231,jadernu,3,2,1
232,nehod,3,2,1
233,lecbu,3,2,1
234,cernobylskou,3,3,0
235,ct,3,3,0
236,ulozisti,3,3,0
237,httpsstrategickemysleniinfovalkameziindiiapakistanemjadernezbranemohouzacitletatamilionyzemrit,3,3,0
238,httpsbyznysihnedczczivevysokahraojadromaceskorozsiritdukovanyatemelinsledujtespecialdvtv,2,0,2
239,httpswwwseznamzpravyczclanektrumpzrusiklicovoujadernoudohodusruskemazacnesvyvojemnovychzbraniseqnodopabvariantsourceclankyhome,2,2,0
240,httpswwwseznamzpravyczclanekuzibabispripoustiodkladklicovehoverdiktuzivotnostdukovanbysemohlaprodlouzitodesetletseqnodopabvariantsourceclankyhome,2,2,0
241,httpswwwstoplusjednickaczcosestalokdybyjadernacarbombaexplodovalavevesmiru,2,2,0
242,medicine,2,1,1
243,httpsdeniknczpostavmejaderneblokynezekonomikazpomaliceskefirmynatomvydelajivyzyvazemanuvporadcenejedlyfbclidiwardnfpgscaedalgkuwfxxdkddjmayjrtsesruadeisjlqjaxeza,2,2,0
244,radonem,2,2,0
245,httpswwwkurzyczzpravyjadernyprojektcezmuzebytodlozenreklaministrynenovakova,2,2,0
246,httpsctceskatelevizeczdomaciexpertnitymprezidentazemanapodporiljadernouenergetikuaprolomenilimitutezby,2,2,0
247,httpswwwparlamentnilistyczpolitikaposlaneckasnemovnanedelamesisranduptalijsmesepolitikuzdabymelajitcrdojadernevalkyprotiruskujakotomhovorilgeneralpavelzdejsouodpovedi,2,0,2
248,fukusimou,2,2,0
249,httpseurozpravyczmagazinvedcispocitalikoliklidibyprezilojadernouvalkucobybylopak,2,2,0
250,lekarstvi,2,2,0
251,httpswwwvaticannewsvacsvatikannewssvatystolecexistencejadernychzbranizbranikladedneskunejhtml,2,2,0
252,temelinchce,2,2,0
253,httpszahranicniihnedczcputinpohrozilevropejadernouodvetoupokudbudesouhlasitsrozmistenimamerickychraket,2,2,0
254,dukovanum,2,2,0
255,httpswwwkritikyczkdekoupiteradiacniochranaprirentgenovychvykonechtonejdulezitejsipropraxi,2,2,0
256,odpadku,2,2,0
257,fukushimy,2,2,0
258,httpswwwpatriaczzpravodajstvijadernyprojektcezmuzebytodlozenreklaministrynenovakovahtml,2,2,0
259,nehodach,2,0,2
260,httpswwwlidovkyczsvetputinhrozievropemoznostijaderneodvetyprijmeliraketyusaalnzahranicimpr,2,1,1
261,temelinska,2,1,1
262,nehodlame,2,1,1
263,httpsczsputniknewscomsvetklimkinpodezreniruskorozmistenikrymjadernezbrane,2,2,0
264,httpswwwbudejckadrbnaczzpravyspolecnostdotemelinadoraziloprestisiclidipatrimezinejnavstevovanejsijihoceskepamatkyhtmlfbclidiwarzofbmsoitpfkhdrcqekfmwtbpcqphtdkepptqgrrgdznk,2,1,1
265,nehodim,2,0,2
266,httpswwwkurzyczzpravyzivotnostdukovanbysepodlebabisemohlaprodlouzitodesetlet,2,2,0
267,httpswwwbudejckadrbnaczzpravyspolecnostvtemelinetrenovalireakcinablackouthtml,2,2,0
268,temelinailustracni,2,1,1
269,httpsctceskatelevizeczekonomikastatpodlenovakovenemuselceznutitdostavbyjadernychblokuvehreje,2,2,0
270,httpswwwsecuritymagazinczhistoriejadernaponorkaussscorpionletodnevysvetelneztratyapatracioperacehtml,2,2,0
271,elektrarnychce,2,2,0
272,httpswwwsecuritymagazinczhistoriekleninskijkomsomolprvnisovetskajadernaponorkahtml,2,2,0
273,httpszpravyaktualneczzahraniciputinhrozievropemoznostijaderneodvetyprijmeliraketyredbdafeacfbeeutmtermautofeedutmmediumsocialutmsourcetwitterechobox,2,2,0
274,httpswwwsecuritymagazinczhistorieoperaceoperalikvidaceirackehojadernehoreaktoruvosirakuhtml,2,2,0
275,httpswwwsecuritymagazinczhistoriesaddamhusajnseobavalamerickehojadernehoutokubehemvalkyvperskemzalivuhtml,2,2,0
276,httpswwwbyznysnovinyczopethrozijadernavalkavarovalgorbacovobviniltrumpovyusamilitarizacepolitiky,2,2,0
277,cernobylem,2,1,1
278,httpsczenergyhubeuclanekctkbloombergcrmuzepodlenovakoveodlozitjaderneprojekty,2,2,0
279,temelinskeho,2,1,1
280,uniku,2,2,0
281,jadernyblok,2,2,0
282,ozarovanim,2,1,1
283,httpspravyprostorczruskoopethroziapokalyptickoujadernouvalkou,2,2,0
284,izotopove,2,2,0
285,cesium,2,2,0
286,statnim,2,2,0
287,reckojaderna,2,2,0
288,poruch,2,2,0
289,lecbou,2,2,0
290,httpswwwceskenovinyczzpravyzivotnostdukovanbysepodlebabisemohlaprodlouzitodesetlet,2,1,1
291,davku,2,2,0
292,httpswwwfioczzpravodajstvizpravyzburzympomnovakovarozhodnutiostavbenovychjadernychreaktorumuzebytodlozenokomentar,2,2,0
293,httpwwwprvnizpravyczzpravyzpravysefkazelenychzadaabyusaodvezlyzevropyjadernezbrane,2,1,1
294,httpswwwfioczzpravodajstvizpravyzburzyministryneprumyslunovakovasevyjadrilakpotencialnivystavbejadernychblokukomentar,2,2,0
295,httpswwwdenikczzesvetapompeoposetkaniskimemsevernikoreaumozniinspekcijadernychzarizenihtml,2,2,0
296,ionizujicim,2,2,0
297,httpoenergeticeczelektrarnycrnovakovacrmuzeodlozitjaderneprojekty,2,2,0
298,httpoenergeticeczelektrarnycrjadernaelektrarnadukovany,2,2,0
299,jaderniky,2,0,2
300,httpswwweuroczpolitikavrakouskusbirajipodpisyprotiulozistijadernehoodpaduvceskuverizeseozveividen,2,2,0
301,httpswwweuroczudalostimizernybetonvbelgickychjadernychelektrarnachbylpodcenovanpotvrdilsefdohledunadjadrem,2,2,0
302,elektrarni,2,2,0
303,havariich,2,2,0
304,httpsacczusachtelyvrocepouzitjadernezbranevevietnamuredirectf,2,2,0
305,httpwwwarmadninovinyczjadernebombynayellowstonehtml,2,2,0
306,httpsvideoaktualneczdvtvdukovanynemusidostavetjenrusovedobaserychlemenirikarcdbbdcbaeadccabf,2,2,0
307,httpswwwirozhlasczzpravydomovzemanexpertijadernaenergetikylimityuhlicen,2,1,1
308,httpforumczpodlezemanabysedanadrabovanemelaplestdojaderneenergetikyutmsourcewwwseznamczutmmediumsekcezinternetu,2,2,0
309,httpseurozpravyczzahranicnievropauderzkaliningraduruskorozsirujevojenskazarizeniijadernaukazujisatelitnisnimky,2,2,0
310,kontaminace,2,2,0
311,httpiuhliczdalsiproblemprihledanijadernehouloziste,2,2,0
312,httpszpravyidnesczukrajinacernobylenergiehistoriejadernaobnovitelnepjhzahranicniaspxcazahranicnilukautmsourcetwitterutmmediumsharecm,2,2,0
313,httpvedaatechnikaeurozpravyczvedazkazuzemebylidstvoprezilosvetpojadernevalcebyalenikdynebylstejny,2,2,0
314,havariim,2,1,1
315,temelinskem,2,2,0
316,httpsglobeczbyznyszasedalzemanumtymexpertuchcejadernouenergiiaprolomitlimitynauhli,1,1,0
317,httpsekolistczczzpravodajstvitiskovezpravyjaksezceskadelajadernecezko,1,1,0
318,httpstrebicskydenikczzpravyregiondukovanstihasicimajispecialistynapozarytlakovychlahvihtml,1,1,0
319,httpsekonomihnedczcdanskelodesestanoucilempronasejadernestrelyvyhrozovalruskyvelvyslanec,1,1,0
320,httpsgczposluchacizkouskysirenpozortarijnovajespecialnivyjimecneserozezniitemelinutmsourcefacebookutmmediumsocialorganicutmcampaignclanekgcz,1,1,0
321,httpsechoczasqfneznicitelnanuklearnitestovinavedciobjevilinejpevnejsimaterialvevesmiruutmsourcewwwseznamczutmmediumsekcezinternetu,1,1,0
322,httpshlidacipesorgziznivyatomsuchoastaleteplejsirekyohrozujiiprovozjadernychelektraren,1,1,0
323,httpsjihlavaidnesczenergieelektrarnadukovanystrachrakouskoprotestvysocinajadroatomlxjihlavazpravyaspxcajihlavazpravymv,1,1,0
324,httpsekonomikaidnesczinfografikavystavbajadernychblokuvevropefekozahranicniaspxcaekozahranicniozr,1,0,1
325,httpssicczakcedenprumyslemustavujadernefyziky,1,0,1
326,httpssciencemagczprirodnijadernereaktoryfbclidiwarqvqglnmjumagipqzgmnorqsoutvnpkaofhjaombgabwpcq,1,1,0
327,dukovansti,1,1,0
328,httpssciencemagczprirodnijadernereaktory,1,1,0
329,httpseurozpravyczzahranicniblizkyvychodjadernavalkanablizkemvychodepolitolognaznacilmoznyscenar,1,1,0
330,httpseurozpravyczmagazinjsoupotravinyradioaktivniminimalnejednumamedomavsichni,1,1,0
331,httpsepochaplusczsmrtelnaradiacejakenejhorsijadernekatastrofypostihlylidstvoutmsourcewwwseznamczutmmediumzboxiku,1,0,1
332,httpsepochaplusczsmrtelnaradiacejakenejhorsijadernekatastrofypostihlylidstvoutmsourcewwwepochaplusczutmmediumonesignalpushutmcampaignnotification,1,1,0
333,httpsepochaplusczsmrtelnaradiacejakenejhorsijadernekatastrofypostihlylidstvoutmsource,1,0,1
334,httpssanctuarycznuklearnifetissidruhedesceuzivajischramm,1,0,1
335,httpsekonomikaidnesczandrejbabisjadernaelektrarnadukovanyfpekonomikaaspxcaekonomikajnutmsourcerssutmmediumfeedutmcampaignekonomikahutmcontentmain,1,1,0
336,httpseurozpravyczzahranicnievropaagresorprostechcipnenicehosenebojimeputindrsnemluvilojadernemutoku,1,1,0
337,httpsradiozurnalrozhlasczdanadrabovarozhodnutiodelceprovozujadernychelektrarenjevzdypoliticke,1,1,0
338,httpsekonomikaidnesczpruzkumhlubinneulozistejadernehoodpadurichardbrabecministerstvozivotnihoprostrediipbekonomikaaspxcaekonomikafer,1,0,1
339,httpseurozpravyczzahranicnievropaagresorprostechcipneputindrsnemluvilonasazenijadernychzbrani,1,0,1
340,httpsekonomikaidnesczjadernaenergetikatezbaelektrarnamiloszemanexpertnitympufekonomikaaspxcaekonomikakafi,1,1,0
341,httpseurozpravyczzahranicnievropajadernavalkavsechprotivsemnejsmebezbrannitvrdigorbacov,1,1,0
342,httpsostravaidnesczlekarkapodalakvulicernobylutrestnioznameniodbornicinesouhlasizaostravazpravyaspxcaostravazpravyjog,1,1,0
343,httpsglobeczrevuejsoupotravinyradioaktivnijednaanoacesijimiluji,1,1,0
344,elektrarnya,1,1,0
345,httpsdomaciihnedczczivotnostdukovanbysepodlebabisemohlaprodlouzitodesetletnakladybybylymiliardkorundesetkratmeneneznovyblok,1,1,0
346,httpiuhliczobcanelipnikuodmitlijaderneuloziste,1,1,0
347,httpextrastoryczjaknamornidustojnikvasilijarchipovzachranilsvetpredjadernouvalkouhtmlutmsourcewwwseznamczutmmediumsekcezinternetu,1,0,1
348,davkou,1,1,0
349,elektrarnama,1,1,0
350,httpforumczpodlezemanabysedanadrabovanemelaplestdojaderneenergetikyfbclidiwarqagrglgesjnlrfsrvxbugncjqqunujtyuzzrratudtyaossdrabova,1,1,0
351,httpforumczpodlezemanabysedanadrabovanemelaplestdojaderneenergetikyutmsourcewwwseznamcz,1,1,0
352,httpfukushimawatchcomjapantodrainradioactivefukushimawaterdirectlyintopacificoceanhtml,1,1,0
353,httphnihnedczcumelainteligencejakojadernazbran,1,1,0
354,cernobylskeho,1,1,0
355,httpsdomaciihnedczcnejlepsireferencenastavbunovychjadernychblokumapodledrabovejihokorejskakhnpbezsanciprynenianiwestinghouse,1,1,0
356,httpiuhliczposlancisezajimajionovejadernezdroje,1,1,0
357,httpmakeuploopcomradioaktivnivybuchrychlyhalloweenmakeuptutorial,1,0,1
358,httpnecyklopediewikiacomwikijaderncbdhcib,1,1,0
359,httpoenergeticeczelektrarnycrdrabovadukovanybudoucelitevropskemutlakuprodrivejsiuzavreni,1,1,0
360,dukovanskou,1,1,0
361,httpoenergeticeczelektrarnycrexpertnitymprezidentazemanapodporiljadernouenergetiku,1,1,0
362,httpoenergeticeczelektrarnycrnovakovacrmuzeodlozitjaderneprojektyfbclidiwarpfakezyixypzblfcpuxumsgfirrlaxhykqbimpamxa,1,1,0
363,httpextrastoryczjaknamornidustojnikvasilijarchipovzachranilsvetpredjadernouvalkouhtmlutmsourcefacebookcomutmmediumsocialorganicutmcampaignegfb,1,1,0
364,httpextrastoryczamerikamazlomenychsipupresnetoliksejimztratilojadernychhlavichtml,1,1,0
365,httpcasopisargumentczsevernikoreaumoznipristupinspektorukesvymjadernymaraketovymzarizenim,1,1,0
366,httpbitlyklimatickezmenynajadernepalivo,1,1,0
367,elektrarnuvyhnat,1,0,1
368,elektrarnybyli,1,1,0
369,elektrarniky,1,1,0
370,elektrarnyje,1,0,1
371,fukushim,1,1,0
372,fukushime,1,1,0
373,elektrarnici,1,1,0
374,fukusimemam,1,1,0
375,fukusimi,1,1,0
376,gamazareni,1,0,1
377,havariemi,1,1,0
378,havarijnim,1,1,0
379,houbach,1,1,0
380,httpatominfoczjihokorejskejadernetechnologievyvijenepodesitkyletvyletioknem,1,1,0
381,cernobylv,1,1,0
382,httpoenergeticeczelektrarnycrsoudzrusilpovoleniprodalsizpotencialnichmistproulozistejadernehoodpadu,1,1,0
383,httpoenergeticeczelektrinavtemelinednesprocvicilijakbylipnoelektrarnepomohlopriblackoutu,1,1,0
384,httpoenergeticeczjaderneelektrarnybezpecnejsijaderneelektrarnyucinnejsichlazenimuzezabranitjadernymhavariimutmsourcewwwseznamczutmmediumsekcezinternetu,1,1,0
385,httpsceskoaktualneczkontroverznizpravyplanechusapouzitjadernezbranevevietnamu,1,1,0
386,httpsceskoaktualneczzpravykzamyslenijadernavalkablizkemvychodepolitolognaznacilmoznyscenar,1,1,0
387,httpscswikipediaorgwikijaderncaelektrcarnabohunicea,1,1,0
388,httpsctceskatelevizeczdomacimilionovyprojektnaradioaktivniulozisteudajnigarantizcvutnetusilizefiguruji,1,1,0
389,httpsctceskatelevizeczekonomikadrabovarusovestavijaderneblokypomaluikdyzbezpecnedostavbadukovansefbclidiwaruyckazxayhfitdxjkdcxexpsbfadmzyjuomhiumfirieydkwos,1,1,0
390,httpsctceskatelevizeczsvetputinhrozievropemoznostijaderneodvetyprijmeliraketyusafbclidiwarnqgzjqxhxvnqcbgxmjihzwibwgjyrbwpjquzfxcxzjphcyo,1,0,1
391,httpsctceskatelevizeczsvetsummitevropskychaasijskychzemipodporujejadernoudohodusiranem,1,1,0
392,httpsczenergyhubeuclanekctkexpertnitymprezidentazemanapodporiljadernouenergetiku,1,1,0
393,httpsczenergyhubeuclaneknovinkyprekvapujicizpravaznemeckaekologictiaktivistedemonstrujinapodporujaderneenergetiky,1,1,0
394,httpsczenergyhubeuclaneknovinkytransparentnepiratizorganizovalivesnemovneseminarovystavbenovychjadernychbloku,1,1,0
395,httpsczsputniknewscomsvetkrymparlamentklimkinkomentarjadernezbrane,1,1,0
396,httpsczsputniknewscomsvetputinruskojadernezbraneraj,1,1,0
397,httpsczsputniknewscomsvetruskobombarderjaderneutokyvesmir,1,1,0
